date,block,slow,medium,fast
"2022-03-07 00:00:05.577817","14338544","35","35","37"
"2022-03-07 00:02:05.174440","14338551","33","33","35"
"2022-03-07 00:04:03.946198","14338558","27","27","28"
"2022-03-07 00:06:03.653603","14338566","31","32","32"
"2022-03-07 00:08:04.385445","14338575","25","25","25"
"2022-03-07 00:10:04.455319","14338582","27","27","28"
"2022-03-07 00:12:05.341642","14338593","25","25","26"
"2022-03-07 00:14:04.264439","14338601","28","28","29"
"2022-03-07 00:16:04.185673","14338609","31","31","33"
"2022-03-07 00:18:07.835931","14338621","22","22","22"
"2022-03-07 00:20:04.141379","14338627","27","27","29"
"2022-03-07 00:22:04.012482","14338635","31","32","34"
"2022-03-07 00:24:03.981354","14338644","26","26","26"
"2022-03-07 00:26:03.991619","14338652","26","27","27"
"2022-03-07 00:28:03.904050","14338660","25","25","25"
"2022-03-07 00:30:05.962178","14338673","22","22","23"
"2022-03-07 00:32:03.730971","14338680","26","27","28"
"2022-03-07 00:34:04.530430","14338687","22","23","23"
"2022-03-07 00:36:04.258937","14338692","30","30","32"
"2022-03-07 00:38:04.386730","14338701","32","32","34"
"2022-03-07 00:40:04.535530","14338706","34","35","37"
"2022-03-07 00:42:03.563955","14338716","32","33","34"
"2022-03-07 00:44:04.369137","14338723","31","31","31"
"2022-03-07 00:46:05.495739","14338730","34","35","37"
"2022-03-07 00:48:04.381765","14338735","38","39","40"
"2022-03-07 00:50:04.798972","14338740","35","35","36"
"2022-03-07 00:52:03.625294","14338751","30","30","31"
"2022-03-07 00:54:04.396011","14338760","28","29","29"
"2022-03-07 00:56:04.187858","14338763","39","39","41"
"2022-03-07 00:58:03.978494","14338776","25","25","25"
"2022-03-07 01:00:04.228154","14338784","30","30","31"
"2022-03-07 01:02:04.622248","14338792","31","31","33"
"2022-03-07 01:04:06.334648","14338800","29","30","30"
"2022-03-07 01:06:05.575999","14338810","27","27","28"
"2022-03-07 01:08:05.684479","14338812","31","32","33"
"2022-03-07 01:10:04.826685","14338817","38","39","40"
"2022-03-07 01:12:04.268378","14338823","39","39","40"
"2022-03-07 01:14:04.045299","14338832","33","34","34"
"2022-03-07 01:16:04.630313","14338838","40","41","42"
"2022-03-07 01:18:03.912911","14338843","44","44","46"
"2022-03-07 01:20:03.914426","14338855","32","33","34"
"2022-03-07 01:22:04.226454","14338865","24","24","24"
"2022-03-07 01:24:04.149471","14338872","32","33","35"
"2022-03-07 01:26:03.911657","14338885","22","23","24"
"2022-03-07 01:28:04.666076","14338896","23","23","25"
"2022-03-07 01:30:07.135374","14338901","28","28","29"
"2022-03-07 01:32:03.887597","14338914","21","21","22"
"2022-03-07 01:34:03.639462","14338915","23","24","25"
"2022-03-07 01:36:04.439767","14338925","25","25","26"
"2022-03-07 01:38:04.173042","14338932","29","30","32"
"2022-03-07 01:40:04.244268","14338943","22","22","22"
"2022-03-07 01:42:04.514853","14338950","23","24","24"
"2022-03-07 01:44:04.300186","14338955","28","29","33"
"2022-03-07 01:46:04.036691","14338963","27","27","28"
"2022-03-07 01:48:03.891418","14338966","38","38","40"
"2022-03-07 01:50:04.595233","14338979","23","23","24"
"2022-03-07 01:52:05.589010","14338984","28","29","30"
"2022-03-07 01:54:04.838257","14338994","24","24","24"
"2022-03-07 01:56:03.671998","14339003","21","21","21"
"2022-03-07 01:58:04.373972","14339019","19","20","21"
"2022-03-07 02:00:04.498058","14339027","19","20","21"
"2022-03-07 02:02:03.677137","14339038","15","15","16"
"2022-03-07 02:04:04.715580","14339046","21","21","23"
"2022-03-07 02:06:04.511933","14339052","25","26","27"
"2022-03-07 02:08:04.236472","14339067","16","16","17"
"2022-03-07 02:10:04.215897","14339074","23","23","24"
"2022-03-07 02:12:04.360413","14339088","17","18","18"
"2022-03-07 02:14:04.111380","14339099","14","14","15"
"2022-03-07 02:16:04.086172","14339111","16","16","17"
"2022-03-07 02:18:04.703991","14339121","19","19","20"
"2022-03-07 02:20:04.812671","14339131","19","20","21"
"2022-03-07 02:22:04.456697","14339144","17","17","17"
"2022-03-07 02:24:05.112705","14339152","24","24","25"
"2022-03-07 02:26:04.226947","14339159","20","21","21"
"2022-03-07 02:28:04.013724","14339166","23","24","25"
